   X          Y        
1  -0.0509338 1.5743   
2  0.967742   1.71269  
3  1.88455    1.75881  
4  3.00509    1.78517  
5  3.97284    1.81812  
6  4.99151    1.85107  
7  6.01019    1.88402  
8  7.02886    1.89061  
9  7.94567    1.93674  
10 9.01528    1.95651  
11 10.034     1.98287  
12 11.0017    2.029    
13 12.0204    2.04876  
14 13.09      2.07512  
15 13.9559    2.10807  
16 15.1273    2.11466  
17 15.9932    2.16079  
18 17.0628    2.18056  
19 17.7759    2.20033  
20 18.1834    1.40297  
21 18.6418    1.40297  
22 19.253     1.40297  
23 19.966     1.40297  
24 20.6791    1.40297  
25 21.2903    1.40297  
26 21.9525    1.39638  
27 22.4618    1.39638  
28 22.7165    1.39638  
29 22.7674    1.39638  
30 -0.0509338 99.1763  
31 0.814941   102.471  
32 2.69949    99.1763  
33 3.87097    95.8814  
34 5.50085    99.1763  
35 7.02886    102.471  
36 8.35314    102.471  
37 9.77929    99.1763  
38 11.4092    99.1763  
39 12.8353    99.1763  
40 13.9559    99.1763  
41 15.6876    99.1763  
42 16.8591    99.1763  
43 17.8268    99.1763  
44 17.9287    -866.227 
45 17.9796    -813.509 
46 17.9796    -780.56  
47 18.0306    -744.316 
48 18.0306    -711.367 
49 18.0815    -678.418 
50 18.0815    -645.47  
51 18.2343    -609.226 
52 18.489     -559.802 
53 18.5908    -516.969 
54 18.7436    -484.02  
55 19.0492    -447.776 
56 19.3039    -404.942 
57 19.7623    -358.814 
58 20.2716    -302.801 
59 20.7301    -263.262 
60 21.3413    -220.428 
61 21.8506    -180.89  
62 22.2071    -161.12  
63 22.4618    -141.351 
