   X          Y       
1  -0.0509338 1.5743  
2  0.967742   1.71269 
3  1.88455    1.75881 
4  3.00509    1.78517 
5  3.97284    1.81812 
6  4.99151    1.85107 
7  6.01019    1.88402 
8  7.02886    1.89061 
9  7.94567    1.93674 
10 9.01528    1.95651 
11 10.034     1.98287 
12 11.0017    2.029   
13 12.0204    2.04876 
14 13.09      2.07512 
15 13.9559    2.10807 
16 15.1273    2.11466 
17 15.9932    2.16079 
18 17.0628    2.18056 
19 17.7759    2.20033 
20 18.1834    1.40297 
21 18.6418    1.40297 
22 19.253     1.40297 
23 19.966     1.40297 
24 20.6791    1.40297 
25 21.2903    1.40297 
26 21.9525    1.39638 
27 22.4618    1.39638 
28 22.7165    1.39638 
29 22.7674    1.39638 
