   X          Y        
1  -0.0511073 1.63743  
2  1.94208    1.80864  
3  2.96422    1.8417   
4  3.98637    1.88133  
5  5.05963    1.90784  
6  6.08177    1.9212   
7  7.0017     1.96738  
8  8.02385    1.98074  
9  9.14821    2.02039  
10 10.1193    2.04688  
11 11.0903    2.07336  
12 12.0102    2.09327  
13 12.879     2.13287  
14 14.1567    2.16599  
15 15.0767    2.19903  
16 16.0477    2.22552  
17 17.0187    2.23887  
18 18.0409    2.25223  
19 19.1141    2.30501  
20 20.0341    2.31834  
21 21.1073    2.35799  
22 22.0784    2.38447  
23 23.1516    2.41755  
24 23.2538    1.43892  
25 23.9182    1.38652  
26 24.2249    1.39315  
27 24.9915    1.39989  
28 25.8092    1.40664  
29 26.678     1.40683  
30 27.2402    1.40695  
31 28.0068    1.40712  
32 0.971039   97.6432  
33 2.0954     94.4823  
34 3.01533    94.583   
35 4.03748    97.9789  
36 4.95741    94.7956  
37 6.13288    98.2083  
38 7.05281    91.7409  
39 8.02385    95.1312  
40 8.99489    95.2375  
41 9.96593    98.6279  
42 11.0392    98.7454  
43 11.9591    98.8461  
44 13.1346    98.9748  
45 14.0034    99.0699  
46 15.0767    95.9033  
47 15.9455    95.9984  
48 17.0187    99.4     
49 18.0409    99.5119  
50 19.1141    106.197  
51 20.1874    99.7468  
52 21.1073    99.8475  
53 22.0784    99.9538  
54 23.1516    100.071  
55 23.3049    -796.464 
56 23.4583    -770.174 
57 23.5605    -734.038 
58 23.8671    -691.312 
59 23.9182    -658.465 
60 24.0716    -619.04  
61 24.276     -586.177 
62 24.6848    -543.439 
63 24.8382    -490.877 
64 24.9915    -448.167 
65 25.4514    -421.844 
66 25.6048    -398.839 
67 25.8092    -362.692 
68 26.2181    -323.238 
69 26.678     -287.063 
70 26.9847    -257.473 
71 27.4446    -237.718 
72 27.7002    -217.986 
73 27.9557    -198.253 
